"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.4","seurat_clusters","celltype","age"
"X1772094_173_B04","X1772094",3184,1549,"7","7","mDA1","E14.5"
"X1772071_050_C04","X1772071",7645,2285,"7","7","mDA1","E12.5"
"X1772096_112_C04","X1772096",11311,3143,"7","7","mDA2","E13.5"
"X1772066_093_E03","X1772066",3731,1355,"7","7","mDA2","E14.5"
"X1772094_173_A09","X1772094",9238,3241,"7","7","mDA2","E14.5"
"X1772094_173_G06","X1772094",4474,1998,"7","7","mDA2","E14.5"
"X1772066_091_C03","X1772066",6042,2490,"7","7","mDA2","E14.5"
"X1772071_046_B04","X1772071",10841,3567,"7","7","mDA2","E15.5"
"X1772094_175_A02","X1772094",5179,2334,"7","7","mDA2","E14.5"
"X1772096_111_G12","X1772096",3561,1510,"7","7","mDA2","E13.5"
"X1772066_091_H12","X1772066",4212,1414,"7","7","mDA2","E14.5"
"X1772094_173_C08","X1772094",5097,2202,"14","14","mDA2","E14.5"
"X1772066_084_H06","X1772066",9819,3227,"7","7","mDA2","E15.5"
"X1772071_046_B11","X1772071",3820,1865,"7","7","mDA2","E15.5"
"X1772075_303_C03","X1772075",6930,2154,"7","7","mDA2","E13.5"
"X1772094_173_F12","X1772094",3389,1519,"7","7","mDA2","E14.5"
"X1772094_175_A05","X1772094",7623,2648,"7","7","mDA2","E14.5"
"X1772094_173_H01","X1772094",7516,2872,"7","7","mDA2","E14.5"
"X1772094_172_E01","X1772094",8341,2974,"7","7","mDA2","E14.5"
"X1772066_093_B09","X1772066",8075,2959,"7","7","mDA2","E14.5"
"X1772075_300_G11","X1772075",12884,3633,"7","7","mDA2","E15.5"
"X1772066_084_F04","X1772066",10579,3375,"7","7","mDA2","E15.5"
"X1772071_046_G07","X1772071",13674,4511,"7","7","mDA2","E15.5"
"X1772094_173_G07","X1772094",8072,3068,"7","7","mDA2","E14.5"
"X1772072_248_A03","X1772072",7572,3212,"7","7","mDA2","E18.5"
"X1772075_303_A04","X1772075",11001,2682,"11","11","mDA0","E13.5"
"X1771013_013_E04","X1771013",4280,1391,"7","7","mDA0","E11.5"
"X1772094_163_A10","X1772094",5204,2085,"7","7","mDA0","E12.5"
"X1772094_161_B01","X1772094",2959,1281,"7","7","mDA0","E11.5"
"X1772096_111_A08","X1772096",5672,2732,"7","7","mDA0","E13.5"
"X1772096_111_C07","X1772096",5303,2338,"7","7","mDA0","E13.5"
"X1772094_171_A03","X1772094",6586,2867,"7","7","mDA0","E12.5"
"X1772094_163_F03","X1772094",4374,1814,"7","7","mDA0","E12.5"
"X1772096_114_E05","X1772096",7600,2717,"9","9","mDA0","E13.5"
"X1772096_115_D05","X1772096",7280,2619,"7","7","mDA0","E13.5"
"X1771013_153_D03","X1771013",2751,1299,"7","7","mDA0","E12.5"
"X1772094_161_E11","X1772094",6205,2056,"7","7","mDA0","E11.5"
"X1772096_115_B09","X1772096",4078,1685,"7","7","mDA0","E13.5"
"X1772094_163_H05","X1772094",3888,1480,"7","7","mDA0","E12.5"
"X1771013_013_D08","X1771013",3350,1058,"7","7","mDA0","E11.5"
"X1772094_166_G02","X1772094",5006,2277,"9","9","mDA0","E12.5"
"X1772075_302_C12","X1772075",3523,1131,"7","7","mDA0","E13.5"
"X1772096_111_D01","X1772096",4486,1848,"7","7","mDA0","E13.5"
"X1772071_065_A12","X1772071",4133,1257,"7","7","mDA0","E13.5"
"X1772075_303_D03","X1772075",4612,1617,"11","11","mDA0","E13.5"
"X1772096_111_A09","X1772096",8041,3231,"7","7","mDA0","E13.5"
"X1771013_111_G01","X1771013",5005,2294,"7","7","mDA0","E11.5"
"X1772096_114_H01","X1772096",9125,3049,"7","7","mDA0","E13.5"
"X1772096_111_B07","X1772096",8070,2875,"7","7","mDA0","E13.5"
"X1771013_108_A03","X1771013",4014,1890,"7","7","mDA0","E12.5"
"X1772075_302_H12","X1772075",14940,2959,"7","7","mDA0","E13.5"
"X1772094_166_C05","X1772094",10852,2960,"7","7","mDA0","E12.5"
"X1772071_048_A09","X1772071",8567,2851,"7","7","mDA0","E15.5"
"X1772075_302_C11","X1772075",13676,3046,"7","7","mDA0","E13.5"
"X1772094_175_A07","X1772094",4893,2195,"7","7","mDA0","E14.5"
"X1772096_112_H04","X1772096",7994,2618,"7","7","mDA0","E13.5"
"X1772096_115_H04","X1772096",6978,2524,"7","7","mDA0","E13.5"
"X1772071_049_F02","X1772071",8217,2083,"7","7","mDA0","E12.5"
"X1772096_112_H01","X1772096",5054,2052,"7","7","mDA0","E13.5"
"X1772096_112_D05","X1772096",9565,2989,"7","7","mDA0","E13.5"
"X1771013_108_H02","X1771013",6080,2555,"7","7","mDA0","E12.5"
"X1772071_065_F11","X1772071",5606,1651,"7","7","mDA0","E13.5"
"X1771013_111_A09","X1771013",8759,3270,"7","7","mDA0","E11.5"
"X1772096_111_F11","X1772096",7053,2776,"7","7","mDA0","E13.5"
"X1772094_163_D09","X1772094",7578,2383,"7","7","mDA0","E12.5"
"X1772066_084_E01","X1772066",7108,2750,"7","7","mDA0","E15.5"
"X1772094_166_F04","X1772094",8284,2679,"7","7","mDA0","E12.5"
"X1772075_303_A10","X1772075",6982,2093,"8","8","mNbDA","E13.5"
"X1772096_111_H09","X1772096",9611,3528,"11","11","mNbDA","E13.5"
"X1772096_115_A06","X1772096",10439,3141,"7","7","mNbDA","E13.5"
"X1772096_111_A07","X1772096",5549,2376,"7","7","mNbDA","E13.5"
"X1772094_166_D10","X1772094",6156,2081,"7","7","mNbDA","E12.5"
"X1772094_175_E11","X1772094",5214,2107,"6","6","mNbDA","E14.5"
"X1772096_111_A05","X1772096",6280,2656,"7","7","mNbDA","E13.5"
"X1772096_114_G05","X1772096",2963,1353,"7","7","mNbDA","E13.5"
"X1772096_115_D11","X1772096",5537,2171,"11","11","mNbDA","E13.5"
"X1772096_112_E12","X1772096",7063,2241,"5","5","mNbDA","E13.5"
"X1771013_111_D01","X1771013",2727,1286,"8","8","mNbDA","E11.5"
"X1772066_093_D05","X1772066",7753,2583,"3","3","mNbDA","E14.5"
"X1772096_112_F10","X1772096",5191,1900,"7","7","mNbDA","E13.5"
"X1772096_111_C04","X1772096",6177,2663,"7","7","mNbDA","E13.5"
"X1772071_065_F08","X1772071",5532,1508,"7","7","mNbDA","E13.5"
"X1772071_065_D06","X1772071",7419,1751,"7","7","mNbDA","E13.5"
"X1772096_115_G06","X1772096",5203,1877,"8","8","mNbDA","E13.5"
"X1772094_146_H07","X1772094",5263,1916,"8","8","mNbDA","E11.5"
"X1772075_302_E08","X1772075",8095,2380,"8","8","mNbDA","E13.5"
"X1772071_065_G11","X1772071",7916,2180,"7","7","mNbDA","E13.5"
"X1772096_111_F05","X1772096",7406,2543,"7","7","mNbDA","E13.5"
"X1772096_115_B12","X1772096",9224,2772,"7","7","mNbDA","E13.5"
"X1772071_065_A08","X1772071",6972,1739,"5","5","mNbDA","E13.5"
"X1772094_163_C08","X1772094",2799,1050,"8","8","mNbDA","E12.5"
"X1771013_108_A08","X1771013",2613,1431,"7","7","mNbDA","E12.5"
"X1772094_158_E02","X1772094",5579,2229,"7","7","mNbDA","E11.5"
"X1772094_171_A04","X1772094",6062,2767,"8","8","mNbDA","E12.5"
"X1771013_108_B10","X1771013",2936,1387,"7","7","mNbDA","E12.5"
"X1772096_114_F05","X1772096",3768,1410,"7","7","mNbDA","E13.5"
"X1772071_065_D04","X1772071",4729,1439,"7","7","mNbDA","E13.5"
"X1772096_111_D06","X1772096",6000,2344,"8","8","mNbDA","E13.5"
"X1772071_048_H12","X1772071",7131,2774,"7","7","mNbDA","E15.5"
"X1772096_112_A05","X1772096",4212,1627,"7","7","mNbDA","E13.5"
"X1772094_161_C10","X1772094",4651,1648,"7","7","mNbDA","E11.5"
"X1772096_115_C03","X1772096",5795,2307,"7","7","mNbDA","E13.5"
"X1772094_172_B10","X1772094",3694,1593,"7","7","mNbDA","E14.5"
"X1771013_111_C08","X1771013",3617,1492,"7","7","mNbDA","E11.5"
"X1772094_173_F06","X1772094",3954,1902,"10","10","mNbDA","E14.5"
"X1772096_114_H10","X1772096",6501,2336,"7","7","mNbDA","E13.5"
"X1772094_144_F08","X1772094",6119,2034,"5","5","mNbDA","E11.5"
"X1771013_111_A05","X1771013",4391,1965,"7","7","mNbDA","E11.5"
"X1771013_108_H11","X1771013",3887,1786,"7","7","mNbDA","E12.5"
"X1772071_050_G06","X1772071",7882,2545,"8","8","mNbDA","E12.5"
"X1771013_108_C01","X1771013",5777,2331,"7","7","mNbDA","E12.5"
"X1771013_110_D04","X1771013",3273,1371,"8","8","mNbDA","E11.5"
"X1772096_111_C01","X1772096",3847,1637,"7","7","mNbDA","E13.5"
"X1771013_111_A11","X1771013",4123,1515,"8","8","mNbDA","E11.5"
"X1771013_111_C04","X1771013",2922,1230,"8","8","mNbDA","E11.5"
"X1772096_115_F09","X1772096",7053,2575,"7","7","mNbDA","E13.5"
"X1772096_111_E01","X1772096",9041,3148,"8","8","mNbDA","E13.5"
"X1772071_048_G05","X1772071",5805,2243,"7","7","mNbDA","E15.5"
"X1771013_108_H07","X1771013",5145,2301,"7","7","mNbDA","E12.5"
"X1772094_146_G06","X1772094",8203,2587,"8","8","mNbDA","E11.5"
"X1772071_065_H10","X1772071",11501,3060,"8","8","mNbDA","E13.5"
"X1772092_006_C06","X1772092",6527,2417,"8","8","mNbDA","E11.5"
"X1772075_303_A07","X1772075",6250,1945,"7","7","mNbDA","E13.5"
"X1772096_114_G11","X1772096",7046,2393,"2","2","mNbDA","E13.5"
"X1772096_111_H11","X1772096",6758,2768,"7","7","mNbDA","E13.5"
"X1772096_112_C09","X1772096",5223,1701,"7","7","mNbDA","E13.5"
"X1771013_108_E08","X1771013",4212,1962,"7","7","mNbDA","E12.5"
"X1772094_158_G11","X1772094",2389,1242,"7","7","mNbDA","E11.5"
"X1772071_065_G12","X1772071",6331,1760,"7","7","mNbDA","E13.5"
"X1772096_115_A04","X1772096",9640,3308,"4","4","mNbDA","E13.5"
"X1772096_115_B11","X1772096",6159,2178,"7","7","mNbDA","E13.5"
"X1771013_111_B07","X1771013",7057,2542,"8","8","mNbDA","E11.5"
"X1772075_302_F04","X1772075",7844,2208,"7","7","mNbDA","E13.5"
"X1772075_303_C09","X1772075",9887,2715,"7","7","mNbDA","E13.5"
"X1772094_166_B12","X1772094",5137,1836,"8","8","mNbDA","E12.5"
"X1772071_050_C06","X1772071",7354,2336,"7","7","mNbDA","E12.5"
"X1772094_166_G06","X1772094",19130,4476,"7","7","mNbDA","E12.5"
"X1772094_163_E06","X1772094",6913,2376,"7","7","mNbDA","E12.5"
"X1772071_065_E02","X1772071",9293,2480,"14","14","mSert","E13.5"
"X1772071_065_G06","X1772071",15312,2893,"14","14","mSert","E13.5"
"X1772066_084_G02","X1772066",19940,4655,"14","14","mSert","E15.5"
"X1772066_085_B04","X1772066",19190,4470,"14","14","mSert","E15.5"
"X1772072_249_B10","X1772072",5617,2281,"14","14","mSert","E18.5"
"X1772072_246_A08","X1772072",16229,4547,"14","14","mSert","E18.5"
"X1772066_087_H03","X1772066",17543,4237,"14","14","mSert","E14.5"
"X1772071_046_E03","X1772071",13659,4251,"14","14","mSert","E15.5"
"X1772066_093_C10","X1772066",4725,1933,"14","14","mSert","E14.5"
"X1772066_093_B11","X1772066",10346,3362,"14","14","mSert","E14.5"
"X1772075_301_D02","X1772075",18997,5195,"14","14","mSert","E15.5"
"X1772096_114_D01","X1772096",10284,3214,"14","14","mSert","E13.5"
"X1772072_246_D05","X1772072",14305,4119,"14","14","mSert","E18.5"
"X1772094_173_G12","X1772094",4768,2032,"14","14","mSert","E14.5"
"X1772075_301_G06","X1772075",14477,4224,"1","1","mSert","E15.5"
"X1772075_302_A01","X1772075",10127,2586,"14","14","mSert","E13.5"
"X1772066_093_D06","X1772066",18725,4465,"14","14","mSert","E14.5"
"X1772066_087_G09","X1772066",6580,2744,"14","14","mSert","E14.5"
"X1772066_087_B02","X1772066",16842,4490,"14","14","mSert","E14.5"
"X1772096_112_D10","X1772096",4963,1704,"14","14","mSert","E13.5"
"X1772066_091_D10","X1772066",7224,2515,"14","14","mSert","E14.5"
"X1772096_114_F08","X1772096",8424,2732,"14","14","mSert","E13.5"
"X1772066_084_A02","X1772066",12822,3708,"14","14","mSert","E15.5"
"X1772066_093_H01","X1772066",7750,2692,"14","14","mSert","E14.5"
"X1772066_093_H05","X1772066",8112,2981,"14","14","mSert","E14.5"
"X1772066_087_H01","X1772066",10763,3612,"14","14","mSert","E14.5"
"X1772094_175_F07","X1772094",7313,2828,"14","14","mSert","E14.5"
"X1772066_093_G08","X1772066",6085,2409,"14","14","mSert","E14.5"
"X1772096_111_F01","X1772096",8592,3059,"14","14","mSert","E13.5"
"X1772066_087_H04","X1772066",12687,4071,"14","14","mSert","E14.5"
"X1772071_046_C02","X1772071",21372,5414,"14","14","mSert","E15.5"
"X1772066_093_G07","X1772066",13753,3625,"1","1","mSert","E14.5"
"X1772072_247_F07","X1772072",10052,3285,"14","14","mSert","E18.5"
"X1772071_048_E07","X1772071",20447,4918,"14","14","mSert","E15.5"
"X1772071_046_D05","X1772071",14699,4222,"14","14","mSert","E15.5"
"X1772066_093_B03","X1772066",11206,3734,"14","14","mSert","E14.5"
"X1772066_087_F09","X1772066",9749,3463,"14","14","mSert","E14.5"
"X1772066_093_A03","X1772066",10344,3211,"14","14","mSert","E14.5"
"X1772072_248_H04","X1772072",8692,3236,"14","14","mSert","E18.5"
"X1772094_173_E04","X1772094",10570,3341,"14","14","mSert","E14.5"
"X1772066_085_H07","X1772066",7677,2679,"14","14","mSert","E15.5"
"X1772072_246_B10","X1772072",22022,5609,"14","14","mSert","E18.5"
"X1772066_087_G07","X1772066",17399,4664,"14","14","mSert","E14.5"
"X1772075_301_E12","X1772075",21997,5394,"14","14","mSert","E15.5"
"X1772071_046_G04","X1772071",25216,5931,"14","14","mSert","E15.5"
"X1772075_302_G02","X1772075",17262,3565,"14","14","mSert","E13.5"
"X1772075_303_G01","X1772075",10959,2844,"14","14","mSert","E13.5"
"X1772075_302_F03","X1772075",16831,3688,"14","14","mSert","E13.5"
"X1772066_093_B07","X1772066",8083,3076,"14","14","mSert","E14.5"
"X1772096_114_D05","X1772096",8208,2968,"14","14","mSert","E13.5"
"X1771013_153_A03","X1771013",4545,1791,"14","14","mSert","E12.5"
"X1772071_048_E09","X1772071",14498,4459,"7","7","mSert","E15.5"
"X1772066_093_C04","X1772066",5212,2059,"3","3","mSert","E14.5"
"X1772075_302_E07","X1772075",14358,3341,"14","14","mSert","E13.5"
"X1772071_065_B11","X1772071",24938,4442,"14","14","mSert","E13.5"
"X1772072_249_F02","X1772072",11090,3534,"15","15","mSert","E18.5"
"X1772096_114_B09","X1772096",15963,4318,"14","14","mSert","E13.5"
"X1772071_065_G05","X1772071",19877,3719,"14","14","mSert","E13.5"
"X1772066_093_E04","X1772066",11957,3487,"14","14","mSert","E14.5"
"X1772071_048_H07","X1772071",6609,2593,"14","14","mDA1","E15.5"
"X1772075_301_C07","X1772075",22636,5340,"7","7","mDA1","E15.5"
"X1772071_048_E11","X1772071",8544,3098,"7","7","mDA1","E15.5"
"X1772066_093_C06","X1772066",15063,4153,"14","14","mDA1","E14.5"
"X1772071_048_B12","X1772071",16328,4461,"7","7","mDA1","E15.5"
"X1772094_172_F09","X1772094",9870,3474,"7","7","mDA2","E14.5"
"X1772072_248_B07","X1772072",11915,4183,"7","7","mDA2","E18.5"
"X1772094_173_C03","X1772094",14468,3957,"14","14","mDA2","E14.5"
"X1772094_175_C03","X1772094",9186,3196,"15","15","mGaba","E14.5"
"X1772071_048_C06","X1772071",11255,3639,"15","15","mGaba","E15.5"
"X1772094_166_H12","X1772094",13228,3425,"5","5","mGaba","E12.5"
"X1772066_093_D10","X1772066",7543,2846,"3","3","mGaba","E14.5"
"X1772066_084_B11","X1772066",12247,3754,"10","10","mGaba","E15.5"
"X1772066_093_C05","X1772066",9237,3285,"3","3","mGaba","E14.5"
"X1772066_093_C01","X1772066",6959,2407,"3","3","mGaba","E14.5"
"X1772066_093_F06","X1772066",6906,2489,"3","3","mGaba","E14.5"
"X1772066_084_D06","X1772066",9581,3362,"15","15","mGaba","E15.5"
"X1772094_172_C11","X1772094",7448,2881,"1","1","mGaba","E14.5"
"X1772066_087_F02","X1772066",12984,4093,"15","15","mGaba","E14.5"
"X1772066_087_A12","X1772066",16628,4268,"3","3","mGaba","E14.5"
"X1772066_085_A07","X1772066",9382,2907,"3","3","mGaba","E15.5"
"X1772066_087_C03","X1772066",10495,3719,"15","15","mGaba","E14.5"
"X1772072_249_B08","X1772072",7235,2746,"15","15","mGaba","E18.5"
"X1772066_085_F02","X1772066",6869,2647,"3","3","mGaba","E15.5"
"X1772066_087_D08","X1772066",6500,2669,"3","3","mGaba","E14.5"
"X1772066_087_D09","X1772066",13554,4022,"15","15","mGaba","E14.5"
"X1772066_085_G07","X1772066",9540,3289,"15","15","mGaba","E15.5"
"X1772071_065_B04","X1772071",10224,2367,"3","3","mGaba","E13.5"
"X1772075_302_B01","X1772075",9250,2396,"3","3","mGaba","E13.5"
"X1772071_048_A05","X1772071",7656,2784,"3","3","mGaba","E15.5"
"X1772071_048_F04","X1772071",9446,3315,"3","3","mGaba","E15.5"
"X1772066_087_G06","X1772066",11375,3099,"3","3","mGaba","E14.5"
"X1772094_174_A06","X1772094",6997,2880,"3","3","mGaba","E14.5"
"X1772075_301_G03","X1772075",4990,2105,"10","10","mGaba","E15.5"
"X1772094_174_D10","X1772094",6121,2493,"3","3","mGaba","E14.5"
"X1772075_300_B08","X1772075",5959,2288,"3","3","mGaba","E15.5"
"X1772075_300_B12","X1772075",5015,2018,"3","3","mGaba","E15.5"
"X1772066_084_B10","X1772066",7923,2954,"10","10","mGaba","E15.5"
"X1772072_249_E05","X1772072",4651,2021,"15","15","mGaba","E18.5"
"X1772066_087_E08","X1772066",7606,2878,"3","3","mGaba","E14.5"
"X1772075_301_C03","X1772075",7606,2604,"3","3","mGaba","E15.5"
"X1772075_301_A01","X1772075",10350,3253,"15","15","mGaba","E15.5"
"X1772075_301_G12","X1772075",8360,2886,"15","15","mGaba","E15.5"
"X1772066_093_E12","X1772066",7283,2593,"3","3","mGaba","E14.5"
"X1772071_048_H04","X1772071",10512,3263,"3","3","mGaba","E15.5"
"X1772071_048_B10","X1772071",6036,2526,"3","3","mGaba","E15.5"
"X1772071_048_G04","X1772071",7456,2684,"3","3","mGaba","E15.5"
"X1772066_093_E11","X1772066",5638,2443,"3","3","mGaba","E14.5"
"X1772075_301_G05","X1772075",5542,2333,"15","15","mGaba","E15.5"
"X1772071_046_C05","X1772071",7863,3056,"15","15","mGaba","E15.5"
"X1772066_087_G04","X1772066",8030,3143,"3","3","mGaba","E14.5"
"X1772066_084_B06","X1772066",9634,3212,"3","3","mGaba","E15.5"
"X1772072_246_G12","X1772072",5911,2508,"3","3","mGaba","E18.5"
"X1772075_300_A04","X1772075",5696,2207,"15","15","mGaba","E15.5"
"X1772094_175_B06","X1772094",7780,3117,"15","15","mGaba","E14.5"
"X1772096_114_F04","X1772096",8861,3001,"3","3","mGaba","E13.5"
"X1772072_246_F11","X1772072",7357,2719,"3","3","mGaba","E18.5"
"X1772094_172_D08","X1772094",6622,2315,"3","3","mGaba","E14.5"
"X1772066_084_C05","X1772066",5637,2224,"3","3","mGaba","E15.5"
"X1772071_048_E10","X1772071",6194,2395,"3","3","mGaba","E15.5"
"X1772066_087_H10","X1772066",7337,3040,"3","3","mGaba","E14.5"
"X1772094_173_A03","X1772094",7474,3054,"15","15","mGaba","E14.5"
"X1772066_087_A09","X1772066",10047,3659,"10","10","mGaba","E14.5"
"X1772071_049_A01","X1772071",9695,2575,"3","3","mGaba","E12.5"
"X1772071_049_C09","X1772071",10192,4060,"3","3","mGaba","E12.5"
"X1772071_048_G06","X1772071",11230,3537,"3","3","mGaba","E15.5"
"X1771013_117_C07","X1771013",5129,1826,"3","3","mGaba","E14.5"
"X1772071_048_A03","X1772071",8056,2957,"3","3","mGaba","E15.5"
"X1772066_085_F03","X1772066",5347,2080,"3","3","mGaba","E15.5"
"X1772075_300_D12","X1772075",4915,1899,"3","3","mGaba","E15.5"
"X1772066_085_E03","X1772066",10282,2919,"3","3","mGaba","E15.5"
"X1772094_173_E08","X1772094",6064,2529,"15","15","mGaba","E14.5"
"X1772094_173_B05","X1772094",6866,2712,"10","10","mGaba","E14.5"
"X1772094_175_E12","X1772094",5007,2289,"3","3","mGaba","E14.5"
"X1772072_248_H11","X1772072",5369,2492,"3","3","mGaba","E18.5"
"X1772094_173_A08","X1772094",7414,2677,"10","10","mGaba","E14.5"
"X1772094_175_C04","X1772094",13194,3961,"3","3","mGaba","E14.5"
"X1772071_046_D11","X1772071",13579,3892,"3","3","mGaba","E15.5"
"X1772071_065_G04","X1772071",11982,2756,"3","3","mGaba","E13.5"
"X1772075_301_F04","X1772075",9032,3220,"1","1","mGaba","E15.5"
"X1772094_175_E10","X1772094",5618,2305,"3","3","mGaba","E14.5"
"X1772094_173_B07","X1772094",5734,2477,"3","3","mGaba","E14.5"
"X1772094_175_D09","X1772094",9042,3421,"1","1","mGaba","E14.5"
"X1772071_049_F10","X1772071",10402,2857,"3","3","mGaba","E12.5"
"X1772072_246_B08","X1772072",6418,2574,"15","15","mGaba","E18.5"
"X1772094_174_C10","X1772094",5652,2159,"3","3","mGaba","E14.5"
"X1772075_300_F09","X1772075",5958,2551,"1","1","mGaba","E15.5"
"X1772066_085_A05","X1772066",6262,2182,"3","3","mGaba","E15.5"
"X1772066_084_B01","X1772066",8753,3035,"3","3","mGaba","E15.5"
"X1772066_085_C06","X1772066",7088,2631,"3","3","mGaba","E15.5"
"X1772096_112_C02","X1772096",7788,2780,"15","15","mGaba","E13.5"
"X1772094_175_C05","X1772094",10329,3306,"3","3","mGaba","E14.5"
"X1772066_085_H10","X1772066",12669,3720,"3","3","mGaba","E15.5"
"X1772094_173_B10","X1772094",8899,3237,"10","10","mGaba","E14.5"
"X1772066_084_D03","X1772066",7257,2727,"3","3","mGaba","E15.5"
"X1772096_115_F07","X1772096",9773,3079,"3","3","mGaba","E13.5"
"X1772075_302_E03","X1772075",10560,2613,"3","3","mGaba","E13.5"
"X1772075_302_F10","X1772075",9810,2310,"3","3","mGaba","E13.5"
"X1772071_048_C08","X1772071",7779,2678,"3","3","mGaba","E15.5"
"X1772094_175_B12","X1772094",8218,3031,"10","10","mGaba","E14.5"
"X1772066_091_H06","X1772066",5523,1945,"3","3","mGaba","E14.5"
"X1772094_172_H12","X1772094",5212,2201,"10","10","mGaba","E14.5"
"X1772094_173_C04","X1772094",13426,3970,"3","3","mGaba","E14.5"
"X1772072_246_C02","X1772072",9076,3295,"15","15","mGaba","E18.5"
"X1772075_301_B08","X1772075",10451,3516,"15","15","mGaba","E15.5"
"X1772071_048_F10","X1772071",6069,2619,"7","7","mGaba","E15.5"
"X1772094_175_E04","X1772094",10417,3360,"15","15","mGaba","E14.5"
"X1772071_046_E09","X1772071",5252,2465,"15","15","mGaba","E15.5"
"X1772066_087_E07","X1772066",14087,3889,"3","3","mGaba","E14.5"
"X1772075_302_H03","X1772075",17272,3717,"12","12","mOMTN","E13.5"
"X1772071_050_F02","X1772071",19726,5137,"12","12","mOMTN","E12.5"
"X1772071_050_E02","X1772071",18168,4608,"12","12","mOMTN","E12.5"
"X1772096_112_C08","X1772096",8871,2507,"12","12","mOMTN","E13.5"
"X1772071_065_C02","X1772071",14642,3207,"12","12","mOMTN","E13.5"
"X1772075_302_E02","X1772075",20004,3871,"12","12","mOMTN","E13.5"
"X1772075_301_E07","X1772075",24150,5518,"12","12","mOMTN","E15.5"
"X1772075_301_E03","X1772075",19889,5282,"12","12","mOMTN","E15.5"
"X1772075_300_F08","X1772075",20619,4853,"12","12","mOMTN","E15.5"
"X1772072_246_B03","X1772072",19426,5295,"12","12","mOMTN","E18.5"
"X1772075_300_B06","X1772075",21490,4793,"12","12","mOMTN","E15.5"
"X1772071_046_C07","X1772071",18133,4393,"12","12","mOMTN","E15.5"
"X1772075_302_E10","X1772075",11217,2781,"12","12","mOMTN","E13.5"
"X1772094_169_B02","X1772094",12045,4308,"12","12","mOMTN","E12.5"
"X1772066_093_G01","X1772066",8756,2996,"12","12","mOMTN","E14.5"
"X1772096_115_B03","X1772096",18395,4446,"12","12","mOMTN","E13.5"
"X1772096_112_E11","X1772096",14109,4284,"12","12","mOMTN","E13.5"
"X1772096_115_C09","X1772096",12163,3333,"12","12","mOMTN","E13.5"
"X1772092_006_A06","X1772092",15319,4243,"12","12","mOMTN","E11.5"
"X1772092_006_B03","X1772092",22213,4737,"12","12","mOMTN","E11.5"
"X1772092_007_B11","X1772092",15600,4300,"12","12","mOMTN","E11.5"
"X1772094_163_D01","X1772094",10479,2951,"12","12","mOMTN","E12.5"
"X1772094_161_C01","X1772094",6158,2306,"12","12","mOMTN","E11.5"
"X1772096_111_G04","X1772096",14594,4238,"12","12","mOMTN","E13.5"
"X1772071_049_H01","X1772071",25733,4761,"2","2","mOMTN","E12.5"
"X1772096_115_A01","X1772096",13535,3978,"12","12","mOMTN","E13.5"
"X1772071_050_C07","X1772071",9511,3169,"12","12","mOMTN","E12.5"
"X1772094_163_A02","X1772094",17244,4350,"2","2","mOMTN","E12.5"
"X1772071_050_E01","X1772071",6918,2247,"12","12","mOMTN","E12.5"
"X1772094_174_D05","X1772094",5944,2468,"12","12","mOMTN","E14.5"
"X1772071_048_E03","X1772071",14398,4238,"1","1","mOMTN","E15.5"
"X1772066_093_G09","X1772066",10630,3851,"12","12","mOMTN","E14.5"
"X1772094_175_D08","X1772094",11326,3881,"1","1","mOMTN","E14.5"
"X1772071_048_B06","X1772071",14374,4153,"10","10","mOMTN","E15.5"
"X1772094_173_A01","X1772094",15313,4334,"1","1","mOMTN","E14.5"
"X1772096_111_A06","X1772096",9484,3409,"11","11","mOMTN","E13.5"
"X1772066_084_D07","X1772066",12371,3926,"1","1","mOMTN","E15.5"
"X1772066_087_B11","X1772066",8068,3066,"12","12","mOMTN","E14.5"
"X1772075_301_A03","X1772075",22024,5769,"12","12","mOMTN","E15.5"
"X1772094_174_C02","X1772094",9200,3148,"12","12","mOMTN","E14.5"
"X1772094_161_F04","X1772094",8852,2656,"12","12","mOMTN","E11.5"
"X1772094_158_F10","X1772094",7623,2801,"12","12","mOMTN","E11.5"
"X1772094_158_F12","X1772094",8176,2750,"12","12","mOMTN","E11.5"
"X1772094_158_A02","X1772094",8670,3049,"12","12","mOMTN","E11.5"
"X1772094_161_B09","X1772094",7546,2845,"12","12","mOMTN","E11.5"
"X1772092_006_H06","X1772092",12788,3050,"12","12","mOMTN","E11.5"
"X1772092_006_B07","X1772092",13138,3209,"12","12","mOMTN","E11.5"
"X1772094_156_E04","X1772094",13237,3579,"12","12","mOMTN","E11.5"
"X1772071_065_H07","X1772071",18138,3221,"12","12","mOMTN","E13.5"
"X1772092_007_B06","X1772092",17579,4340,"12","12","mOMTN","E11.5"
"X1772092_006_D03","X1772092",11150,2955,"12","12","mOMTN","E11.5"
"X1772092_006_G09","X1772092",17429,4134,"12","12","mOMTN","E11.5"
"X1772094_156_D01","X1772094",10208,3180,"12","12","mOMTN","E11.5"
"X1772071_050_D12","X1772071",9265,2744,"12","12","mOMTN","E12.5"
"X1771013_111_C09","X1771013",10152,3499,"12","12","mOMTN","E11.5"
"X1772071_050_G02","X1772071",12779,3809,"12","12","mOMTN","E12.5"
"X1772094_163_B02","X1772094",11555,3124,"12","12","mOMTN","E12.5"
"X1772075_302_E06","X1772075",23056,4792,"12","12","mOMTN","E13.5"
"X1772096_115_E05","X1772096",9230,2978,"12","12","mOMTN","E13.5"
